City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Hilo,US,84.27,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
6,Jamestown,US,80.51,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
7,Mapiripan,CO,79.9,broken clouds,2.8892,-72.1256,Monserrate
10,Flagstaff,US,88.56,few clouds,35.1981,-111.6513,Drury Inn & Suites Flagstaff
13,Kapaa,US,82.72,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
19,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
22,Piacabucu,BR,75.56,broken clouds,-10.4056,-36.4344,Piaçabuçu News
23,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
27,Atar,MR,83.35,moderate rain,20.5169,-13.0499,Oumou Elghoura
29,Torbay,CA,81.88,broken clouds,47.6666,-52.7314,Gallows Cove
34,Ewa Beach,US,79.56,clear sky,21.3156,-158.0072,Base Lodging
36,Hithadhoo,MV,81.25,overcast clouds,-0.6,73.0833,Scoop Guest House
37,Jackson,US,88.75,clear sky,42.4165,-122.8345,Agate Village Apartments
39,Leon,MX,77.99,broken clouds,21.1167,-101.6667,Enterprise Inn Poliforum
41,Agadir,MA,77.45,overcast clouds,30.4202,-9.5982,Iberostar Founty Beach
46,Pemangkat,ID,78.93,overcast clouds,1.1667,108.9667,Ramah Kost KITA
47,Praia Da Vitoria,PT,77.25,few clouds,38.7333,-27.0667,Hotel Branco I
49,Atuona,PF,77.25,light rain,-9.8,-139.0333,Villa Enata
53,Georgetown,MY,78.37,overcast clouds,5.4112,100.3354,Cititel Penang
58,Sayville,US,88.92,clear sky,40.7359,-73.0821,La Quinta Inn & Suites by Wyndham Islip - MacArthur Airport
60,Eirunepe,BR,86.76,overcast clouds,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
67,Beyneu,KZ,82.08,scattered clouds,45.3167,55.2,NUR
83,Alta Floresta,BR,89.42,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
84,Guapi,CO,79.25,light rain,2.5708,-77.8854,Hotel Emperador Guapí
87,Ponta Do Sol,PT,79.72,clear sky,32.6667,-17.1,Hotel do Campo
88,Arraial Do Cabo,BR,75.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
93,Itoman,JP,84.58,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
94,Mandera,KE,83.21,broken clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
97,Korla,CN,86.67,clear sky,41.7597,86.1469,Gulisitan Hotel
99,Kavieng,PG,81.72,clear sky,-2.5744,150.7967,Nusa Island Retreat
106,Awjilah,LY,84.27,clear sky,29.1081,21.2869,المنزل
107,San Policarpo,PH,80.78,overcast clouds,12.1791,125.5072,Agapita M. Nicart
110,Mahibadhoo,MV,82.85,overcast clouds,3.7833,72.9667,Omadhoo Inn
113,Faanui,PF,79.47,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
114,Cayenne,GF,86.04,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
119,Sri Aman,MY,75.25,broken clouds,1.2376,111.4621,Seri Simanggang Hotel
125,Butaritari,KI,81.88,few clouds,3.0707,172.7902,Isles Sunset Lodge
128,Daru,PG,76.19,overcast clouds,-9.0763,143.2092,Daru Lodge
130,Bengkulu,ID,75.13,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
131,Korcula,HR,81.0,clear sky,42.9622,17.1369,Marko Polo Hotel by Aminess
135,Sao Filipe,CV,78.01,light rain,14.8961,-24.4956,Hotel Xaguate
137,Salinas,US,84.99,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
143,Touros,BR,76.98,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
145,Mabaruma,GY,80.89,few clouds,8.2,-59.7833,Monty Brooms Guest House
155,Buchanan,LR,75.58,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
160,Sinnar,SD,78.69,overcast clouds,13.5691,33.5672,بساتين سالمة
165,Guerrero Negro,MX,76.12,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
180,Bubaque,GW,80.15,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
189,Cockburn Town,TC,82.17,few clouds,21.4612,-71.1419,Osprey Beach Hotel
190,Komsomolskiy,UZ,84.92,clear sky,40.4272,71.7189,Ikathouse
195,Axim,GH,75.43,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
196,Griffith,US,86.9,clear sky,41.5284,-87.4237,Apartment above Depot Bar
205,Ambon,ID,77.04,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
