City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Oruro,BO,-17.9833,-67.15,57.63,14,0,6.64,clear sky
1,Khatanga,RU,71.9667,102.5,48.04,87,3,14.05,clear sky
2,Yellowknife,CA,62.456,-114.3525,70.32,43,75,20.71,broken clouds
3,Hilo,US,19.7297,-155.09,84.27,95,100,8.05,moderate rain
4,Anadyr,RU,64.75,177.4833,46.9,75,20,6.71,few clouds
5,Baijiantan,CN,45.6333,85.1833,81.34,28,20,11.52,few clouds
6,Jamestown,US,42.097,-79.2353,80.51,65,75,18.41,broken clouds
7,Mapiripan,CO,2.8892,-72.1256,79.9,86,72,6.96,broken clouds
8,Azangaro,PE,-14.9167,-70.2167,62.37,12,48,1.88,scattered clouds
9,Castro,BR,-24.7911,-50.0119,66.87,60,100,3.8,overcast clouds
10,Flagstaff,US,35.1981,-111.6513,88.56,32,20,8.05,few clouds
11,Nova Olimpia,BR,-14.7972,-57.2881,96.33,18,6,1.77,clear sky
12,Ushuaia,AR,-54.8,-68.3,31.66,100,100,20.71,snow
13,Kapaa,US,22.0752,-159.319,82.72,68,20,14.97,few clouds
14,Codrington,AU,-38.2667,141.9667,46.42,94,6,6.53,clear sky
15,Broken Hill,AU,-31.95,141.4333,51.8,78,0,7.94,clear sky
16,Hasaki,JP,35.7333,140.8333,72.28,87,99,9.98,overcast clouds
17,Qaanaaq,GL,77.484,-69.3632,37.78,98,100,2.95,overcast clouds
18,Saskylakh,RU,71.9167,114.0833,50.86,88,73,1.9,broken clouds
19,Avarua,CK,-21.2078,-159.775,75.25,64,75,9.22,broken clouds
20,Provideniya,RU,64.3833,-173.3,44.76,81,99,8.61,overcast clouds
21,Cap Malheureux,MU,-19.9842,57.6142,70.47,72,45,8.01,scattered clouds
22,Piacabucu,BR,-10.4056,-36.4344,75.56,82,78,11.14,broken clouds
23,Puerto Ayora,EC,-0.7393,-90.3518,76.96,88,85,8.99,overcast clouds
24,Kruisfontein,ZA,-34.0033,24.7314,50.88,71,12,16.04,few clouds
25,Shitanjing,CN,39.2342,106.3439,72.81,37,0,7.72,clear sky
26,Kuusamo,FI,65.9667,29.1833,59.04,63,0,6.91,clear sky
27,Atar,MR,20.5169,-13.0499,83.35,65,100,11.95,moderate rain
28,Naron,ES,43.5167,-8.1528,70.65,72,3,8.59,clear sky
29,Torbay,CA,47.6666,-52.7314,81.88,73,75,14.97,broken clouds
30,Muromtsevo,RU,56.3724,75.2418,52.34,95,99,5.32,overcast clouds
31,Punta Arenas,CL,-53.15,-70.9167,37.51,65,0,8.05,clear sky
32,Kaitangata,NZ,-46.2817,169.8464,33.42,87,31,3.49,scattered clouds
33,Zhigansk,RU,66.7697,123.3711,51.57,91,38,6.78,scattered clouds
34,Ewa Beach,US,21.3156,-158.0072,79.56,63,3,17.34,clear sky
35,Flin Flon,CA,54.7682,-101.865,60.64,67,75,8.05,broken clouds
36,Hithadhoo,MV,-0.6,73.0833,81.25,74,100,7.27,overcast clouds
37,Jackson,US,42.4165,-122.8345,88.75,34,0,4.61,clear sky
38,Krasnoselkup,RU,65.7,82.4667,56.03,91,19,4.03,few clouds
39,Leon,MX,21.1167,-101.6667,77.99,37,63,5.44,broken clouds
40,Lebu,CL,-37.6167,-73.65,53.6,90,100,5.75,overcast clouds
41,Agadir,MA,30.4202,-9.5982,77.45,54,100,2.17,overcast clouds
42,Sitka,US,57.0531,-135.33,55.29,88,100,0.0,light rain
43,Lahij,YE,13.1667,44.5833,86.63,49,75,6.53,light rain
44,Dikson,RU,73.5069,80.5464,49.87,78,57,10.51,broken clouds
45,Malkangiri,IN,18.35,81.9,74.17,96,100,2.59,overcast clouds
46,Pemangkat,ID,1.1667,108.9667,78.93,80,100,3.56,overcast clouds
47,Praia Da Vitoria,PT,38.7333,-27.0667,77.25,83,20,4.47,few clouds
48,Jiangyou,CN,31.7667,104.7167,68.43,89,1,3.09,clear sky
49,Atuona,PF,-9.8,-139.0333,77.25,78,45,18.9,light rain
50,Albany,US,42.6001,-73.9662,96.42,35,9,8.55,clear sky
51,Barrow,US,71.2906,-156.7887,37.42,87,100,12.66,mist
52,Rikitea,PF,-23.1203,-134.9692,72.25,67,0,7.52,clear sky
53,Georgetown,MY,5.4112,100.3354,78.37,85,100,6.33,overcast clouds
54,Tsybli,UA,49.9948,31.5628,69.78,63,0,6.31,clear sky
55,Souillac,MU,-20.5167,57.5167,68.38,83,40,9.22,scattered clouds
56,Tiksi,RU,71.6872,128.8694,47.52,83,35,2.93,scattered clouds
57,Bendigo,AU,-36.7667,144.2833,49.12,99,100,5.19,overcast clouds
58,Sayville,US,40.7359,-73.0821,88.92,42,1,11.72,clear sky
59,Cape Town,ZA,-33.9258,18.4232,54.82,64,3,13.56,clear sky
60,Eirunepe,BR,-6.6603,-69.8736,86.76,58,98,1.92,overcast clouds
61,Klaksvik,FO,62.2266,-6.589,50.92,89,99,15.99,overcast clouds
62,Linqu,CN,36.5156,118.5397,70.21,91,0,4.27,clear sky
63,Caravelas,BR,-17.7125,-39.2481,73.15,70,0,6.49,clear sky
64,Matagami,CA,49.7502,-77.6328,73.51,60,100,8.05,overcast clouds
65,Port Elizabeth,ZA,-33.918,25.5701,54.32,86,22,13.0,few clouds
66,Saint George,US,37.1041,-113.5841,101.79,19,0,20.71,clear sky
67,Beyneu,KZ,45.3167,55.2,82.08,36,45,16.64,scattered clouds
68,Saint-Joseph,RE,-21.3667,55.6167,68.38,82,49,13.67,light rain
69,Heinola,FI,61.2056,26.0381,64.0,97,99,5.73,overcast clouds
70,Saint-Philippe,RE,-21.3585,55.7679,69.39,85,54,13.31,light rain
71,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,55.99,82,20,0.0,few clouds
72,Port Keats,AU,-14.25,129.55,59.94,47,52,5.93,broken clouds
73,Westport,US,41.1415,-73.3579,92.68,31,20,3.78,few clouds
74,Khandyga,RU,62.6667,135.6,62.64,95,2,1.83,clear sky
75,Oktyabrskiy,RU,54.4815,53.471,63.05,84,19,3.44,few clouds
76,Bambous Virieux,MU,-20.3428,57.7575,70.21,83,40,9.22,scattered clouds
77,Lavrentiya,RU,65.5833,-171.0,44.73,82,99,12.88,overcast clouds
78,Faya,SA,18.3851,42.4509,64.92,63,100,2.91,moderate rain
79,Luba,GQ,3.4568,8.5547,75.09,80,100,4.9,overcast clouds
80,Alaca,TR,40.1683,34.8425,59.29,69,0,5.3,clear sky
81,Comodoro Rivadavia,AR,-45.8667,-67.5,35.46,87,100,9.22,light rain and snow
82,Bluff,NZ,-46.6,168.3333,31.8,82,78,5.84,broken clouds
