City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chara,RU,2022-07-20 23:04:23,56.9064,118.2631,63.82,89,94,2.15
1,Chase,CA,2022-07-20 23:05:16,50.8165,-119.6857,93.07,27,5,3.02
2,Baherden,TM,2022-07-20 23:05:16,38.4362,57.4316,88.2,15,0,4.97
3,Alice Springs,AU,2022-07-20 23:03:10,-23.7,133.8833,40.55,65,0,2.3
4,Bowen,AU,2022-07-20 23:05:17,-20.0167,148.2333,65.62,90,100,9.86
5,Mataura,NZ,2022-07-20 23:05:17,-46.1927,168.8643,41.49,85,100,2.84
6,Palafrugell,ES,2022-07-20 23:02:44,41.9174,3.1631,80.42,56,0,4.12
7,Cherskiy,RU,2022-07-20 23:05:18,68.75,161.3,45.95,46,13,16.4
8,Kieta,PG,2022-07-20 23:05:19,-6.2167,155.6333,83.17,71,88,3.18
9,Oranjemund,NA,2022-07-20 23:05:19,-28.55,16.4333,52.23,81,42,15.14
10,Victor Harbor,AU,2022-07-20 23:05:19,-35.5667,138.6167,44.67,77,31,10.65
11,New Norfolk,AU,2022-07-20 23:05:20,-42.7826,147.0587,36.72,84,4,1.79
12,Tasiilaq,GL,2022-07-20 23:05:20,65.6145,-37.6368,39.36,78,73,1.21
13,Dogondoutchi,NE,2022-07-20 23:05:21,13.6393,4.0287,85.69,55,70,12.44
14,Hilo,US,2022-07-20 23:05:21,19.7297,-155.09,83.28,73,75,4.61
15,Edson,CA,2022-07-20 23:05:22,53.5835,-116.4356,79.92,19,11,8.16
16,Thompson,CA,2022-07-20 23:02:27,55.7435,-97.8558,68.16,68,75,5.75
17,Ushuaia,AR,2022-07-20 23:05:22,-54.8,-68.3,31.66,74,75,14.97
18,Albany,US,2022-07-20 23:00:47,42.6001,-73.9662,91.63,51,47,3.0
19,Aktash,RU,2022-07-20 23:05:23,50.3,87.7333,37.26,76,84,3.74
20,Nikolskoye,RU,2022-07-20 23:05:23,59.7035,30.7861,66.87,74,86,8.16
21,Cap Malheureux,MU,2022-07-20 23:01:37,-19.9842,57.6142,68.47,67,93,8.99
22,Saskylakh,RU,2022-07-20 23:05:24,71.9167,114.0833,44.82,69,63,15.19
23,Ravar,IR,2022-07-20 23:05:24,31.2656,56.8055,83.43,12,0,5.46
24,General Pico,AR,2022-07-20 23:05:25,-35.6566,-63.7568,54.66,51,12,8.1
25,Faanui,PF,2022-07-20 23:05:25,-16.4833,-151.75,77.94,65,0,9.51
26,Hambantota,LK,2022-07-20 23:04:13,6.1241,81.1185,78.31,85,97,16.84
27,Half Moon Bay,US,2022-07-20 23:00:34,37.4636,-122.4286,89.55,72,100,16.11
28,Tabou,CI,2022-07-20 23:05:26,4.423,-7.3528,75.33,72,100,8.14
29,Chapais,CA,2022-07-20 23:05:27,49.7834,-74.8492,74.26,58,89,4.63
30,San Patricio,US,2022-07-20 23:04:29,28.017,-97.5169,94.17,54,23,20.29
31,Bethel,US,2022-07-20 23:05:27,41.3712,-73.414,93.02,56,0,5.75
32,Atuona,PF,2022-07-20 23:05:28,-9.8,-139.0333,77.56,75,7,14.74
33,Cabo San Lucas,MX,2022-07-20 23:05:21,22.8909,-109.9124,97.61,51,0,23.02
34,Carutapera,BR,2022-07-20 23:05:29,-1.195,-46.02,76.14,87,78,6.6
35,Gat,IL,2022-07-20 23:04:55,31.61,34.7642,77.68,100,0,4.05
36,Vao,NC,2022-07-20 23:05:29,-22.6667,167.4833,73.96,89,99,11.03
37,Wattegama,LK,2022-07-20 23:05:30,6.7989,81.4808,74.57,92,98,3.24
38,Bluff,NZ,2022-07-20 23:05:30,-46.6,168.3333,41.81,71,100,6.62
39,Severo-Kurilsk,RU,2022-07-20 23:05:30,50.6789,156.125,52.72,97,99,11.3
40,Harrisonburg,US,2022-07-20 23:05:31,38.4496,-78.8689,89.15,58,0,5.75
41,Vaini,TO,2022-07-20 23:05:31,-21.2,-175.2,74.39,79,8,16.64
42,Barrow,US,2022-07-20 23:05:32,71.2906,-156.7887,57.22,51,0,12.66
43,Punta Arenas,CL,2022-07-20 23:05:32,-53.15,-70.9167,33.82,74,40,21.85
44,Pevek,RU,2022-07-20 23:01:29,69.7008,170.3133,31.73,87,99,15.88
45,Huejuquilla El Alto,MX,2022-07-20 23:05:33,22.6,-103.8667,86.94,26,59,5.77
46,Bilma,NE,2022-07-20 23:06:33,18.6853,12.9164,91.17,23,71,6.31
47,Sergeyevka,KZ,2022-07-20 23:06:33,53.88,67.4158,59.25,96,4,9.89
48,Butaritari,KI,2022-07-20 23:06:34,3.0707,172.7902,81.01,80,66,8.48
49,Ancud,CL,2022-07-20 23:06:34,-41.8697,-73.8203,39.22,68,75,10.67
50,Clovis,US,2022-07-20 23:05:12,36.8252,-119.7029,108.16,16,20,6.91
51,Hobart,AU,2022-07-20 23:06:35,-42.8794,147.3294,37.06,92,0,8.05
52,Ribeira Grande,PT,2022-07-20 23:06:35,38.5167,-28.7,72.0,88,20,3.44
53,Murgab,TM,2022-07-20 23:06:36,37.4966,61.9714,82.94,15,0,9.48
54,Tuktoyaktuk,CA,2022-07-20 23:06:36,69.4541,-133.0374,45.99,85,100,10.96
55,Evensk,RU,2022-07-20 23:03:09,61.95,159.2333,65.25,43,14,5.46
56,Airai,TL,2022-07-20 23:06:37,-8.9266,125.4092,59.81,88,89,3.56
57,San Cristobal,VE,2022-07-20 23:06:37,7.7669,-72.225,75.38,84,55,4.45
58,College,US,2022-07-20 23:01:52,64.8569,-147.8028,67.08,55,47,8.7
59,Rikitea,PF,2022-07-20 23:06:38,-23.1203,-134.9692,73.47,74,0,3.6
60,Geraldton,AU,2022-07-20 23:02:37,-28.7667,114.6,63.01,94,100,24.16
61,Namibe,AO,2022-07-20 23:06:38,-15.1961,12.1522,62.56,80,1,5.35
62,Saint-Philippe,RE,2022-07-20 23:06:39,-21.3585,55.7679,69.39,80,46,12.84
63,Msanga,TZ,2022-07-20 23:06:39,-6.05,36.0333,58.1,88,1,5.64
64,Costinesti,RO,2022-07-20 23:06:40,43.95,28.6333,71.06,56,24,11.41
65,Coruripe,BR,2022-07-20 23:06:40,-10.1256,-36.1756,74.05,88,71,11.99
66,Rawson,AR,2022-07-20 23:06:40,-43.3002,-65.1023,46.53,36,91,25.81
67,Busselton,AU,2022-07-20 23:02:08,-33.65,115.3333,55.72,94,100,8.95
68,Heihe,CN,2022-07-20 23:06:41,50.2441,127.4902,63.18,74,22,5.59
69,Saint George,US,2022-07-20 23:06:41,37.1041,-113.5841,108.63,14,0,18.41
70,Lebu,CL,2022-07-20 23:06:42,-37.6167,-73.65,52.79,96,100,9.64
71,Laguna,US,2022-07-20 23:06:42,38.421,-121.4238,106.09,21,0,6.91
72,Mporokoso,ZM,2022-07-20 23:06:43,-9.3727,30.125,62.94,51,74,8.48
73,Mar Del Plata,AR,2022-07-20 23:06:43,-38.0023,-57.5575,58.08,60,20,18.99
74,Kodiak,US,2022-07-20 23:02:25,57.79,-152.4072,54.61,78,100,9.93
75,Basco,PH,2022-07-20 23:06:44,20.4487,121.9702,85.41,77,10,12.82
76,Saint-Joseph,RE,2022-07-20 23:06:44,-21.3667,55.6167,68.38,77,29,13.96
77,Derbent,RU,2022-07-20 23:06:45,42.0678,48.2899,72.7,76,1,10.69
78,Broken Hill,AU,2022-07-20 23:06:45,-31.95,141.4333,47.03,94,99,13.18
79,Norman Wells,CA,2022-07-20 23:06:46,65.282,-126.8329,76.77,35,88,6.64
